"drug","target"
"DB00887","BE0000601"
"DB00887","BE0001195"
"DB00896","BE0000794"
"DB00899","BE0000420"
"DB00899","BE0000632"
"DB00899","BE0000770"
"DB00903","BE0000502"
"DB00903","BE0000732"
"DB00912","BE0000207"
"DB00912","BE0000215"
"DB00914","BE0000677"
"DB00914","BE0002441"
"DB00919","BE0000279"
"DB00920","BE0000487"
"DB00920","BE0001287"
"DB00920","BE0000442"
"DB00920","BE0001133"
"DB00920","BE0003559"
"DB00920","BE0000627"
"DB00920","BE0000706"
"DB00920","BE0002353"
"DB00920","BE0003717"
"DB00920","BE0003718"
"DB00921","BE0000420"
"DB00921","BE0000632"
"DB00921","BE0000770"
"DB00924","BE0000451"
"DB00925","BE0000501"
"DB00925","BE0000575"
"DB00925","BE0000694"
"DB00925","BE0000715"
"DB00925","BE0000289"
"DB00925","BE0000342"
